source_id,title,publisher,published_at,accessed_at,url,archived_url,source_type,role,notes
adform-incident-update,"Security Incident - Company Update",Adform,2026-08-05,2026-08-08,https://site.adform.com/resources/newsroom/security-incident-company-update/,,vendor-research,"incident timing and impact","Adform's retrospective incident statement"
adform-custom-naming,"Custom Naming JavaScript",Adform,,2026-08-08,https://www.adformhelp.com/hc/en-us/articles/10023216886545-Custom-Naming-JavaScript,,vendor-documentation,"script deployment model","Legitimate product documentation"
public-gist,"Captured malicious code",GitHub Gist,,2026-08-08,https://gist.github.com/malexmave/8ef5eabc7b6866698f1ea8a811c75b57,,community,"public sample source","Analyst-added comment changes the full-file hash; see the article and IOC notes"
urlscan-search-docs,"URLScan Search API documentation",URLScan,,2026-08-08,https://urlscan.io/docs/search/,,technical-documentation,"definition of response hash search","Used to interpret exact-response-hash observations"
the-hacker-news,"Hackers Poison Adform Script to Swap Crypto Wallet Addresses in Supply Chain Attack",The Hacker News,2026-08-01,2026-08-08,https://thehackernews.com/2026/08/hackers-poison-adform-script-to-swap.html,,media,"incident discovery context","Secondary reporting"
hn-wallet-thread,"HN wallet discussion on the Adform incident",Hacker News,2026-08-22,2026-08-23,https://news.ycombinator.com/item?id=49170769,,community,"investigative lead only","Used to identify a follow-up lead; every chain claim was independently reproduced"
mempool-api,"Bitcoin REST API",mempool.space,,2026-08-23,https://mempool.space/docs/api/rest,,ledger-api,"Bitcoin address and transaction records","Primary public-ledger interface; snapshot block recorded in methodology"
blockstream-api,"Esplora HTTP API",Blockstream,,2026-08-23,https://github.com/Blockstream/esplora/blob/master/API.md,,ledger-api,"independent Bitcoin transaction reproduction","Used to cross-check seed history"
blockscout-api,"Ethereum API documentation",Blockscout,,2026-08-23,https://docs.blockscout.com/devs/apis,,ledger-api,"Ethereum transactions token transfers and decoded calls","Primary public-ledger interface; snapshot block recorded in methodology"
etherscan-labels,"Ethereum address labels and verified contract metadata",Etherscan,,2026-08-23,https://etherscan.io/,,explorer,"dated public service labels","Labels are mutable third-party metadata and do not identify customers"
blockscan-labels,"Multichain address labels",Blockscan,,2026-08-23,https://blockscan.com/,,explorer,"label corroboration","Used to corroborate selected exchange labels"
walletexplorer-api,"WalletExplorer API",WalletExplorer,,2026-08-23,https://www.walletexplorer.com/api,,clustering-api,"Bitcoin wallet-cluster context","Cluster membership is heuristic; CoinJoinMess is not a named mixer"
bitinfocharts-label,"Bitcoin address page for bc1q9wvy",BitInfoCharts,,2026-08-23,https://bitinfocharts.com/bitcoin/address/bc1q9wvygkq7h9xgcp59mc6ghzczrqlgrj9k3ey9tz,,explorer,"third-party service label","Displays KuCoin; mutable third-party label and not provider-supplied ownership proof"
whalealert-label,"Bitcoin transaction context for bc1q9wvy",Whale Alert,,2026-08-23,https://whale-alert.io/transaction/bitcoin/6be74b4ed2a91a1c9cad5d28a0e3e5a8433fa806452ce7c21b3f0adfa4d0ada2,,explorer,"third-party service-label corroboration","Displays KuCoin; mutable third-party label and not provider-supplied ownership proof"
harbor-product,"Native-asset rails for wallets and apps",Harbor,,2026-08-23,https://harbor.xyz/,,vendor-documentation,"cross-chain routing classification","Harbor describes a native-asset DEX and liquidity infrastructure; not classified as a mixer"
bridgers-contracts,"Bridgers contract addresses",Bridgers,,2026-08-23,https://docs-bridgers.bridgers.xyz/,,vendor-documentation,"Ethereum router contract verification","Lists 0xB685760EBD368a891F27ae547391F4E2A289895b for Ethereum mainnet"
sourcegraph-search,"Exact BTC seed global code search",Sourcegraph,,2026-08-23,https://sourcegraph.com/search/stream?q=context%3Aglobal%20patternType%3Aliteral%20count%3A100%20archived%3Ayes%20fork%3Ayes%20%22bc1qmplgt0hcg62jc2guz86wn2sms7tqrsulkkrrls%22&v=V3,,code-search,"exact embedded BTC address code-search check","No independent earlier code match for this exact literal query; one negative search is not proof of absence and does not cover other indicators"
tron-account-docs,"Account address format",TRON Developer Hub,,2026-08-23,https://developers.tron.network/docs/account,,technical-documentation,"TRON address validation","Used to document invalid recovered replacement string"
eip7702,"EIP-7702 Set Code for EOAs",Ethereum Improvement Proposals,,2026-08-23,https://eips.ethereum.org/EIPS/eip-7702,,technical-standard,"account execution interpretation","Account mechanism is not operator attribution"
eip4337,"ERC-4337 account abstraction",Ethereum Improvement Proposals,,2026-08-23,https://eips.ethereum.org/EIPS/eip-4337,,technical-standard,"bundler and paymaster interpretation","Used to separate fee plumbing from cash-out paths"
