address_id,chain,address,role,first_seen_utc,last_seen_utc,public_label,label_source_id,label_checked_at,assessment,confidence,source_id,notes
btc-seed,bitcoin,bc1qmplgt0hcg62jc2guz86wn2sms7tqrsulkkrrls,payload replacement destination,2026-07-03T00:42:11Z,2026-08-10T22:12:04Z,,,2026-08-23,active collection address recovered from payload,high,mempool-api,"Activity predates the reported Adform incident; complete history is not an incident loss total"
btc-premerge-a,bitcoin,bc1qr02duy036enr4e9cv20r9cgay2alrs3em0kdzk,pre-incident seed sweep output,2026-07-19T03:25:49Z,2026-07-20T00:52:19Z,,,2026-08-23,one-use intermediate,high,mempool-api,"Received 56 seed UTXOs then co-spent with a second branch"
btc-premerge-b,bitcoin,bc1q00ztdlxtl48zuccsmul46xu98e99y8qvmkwwvd,pre-incident merge input,2026-07-19T03:25:49Z,2026-07-20T00:52:19Z,,,2026-08-23,one-use intermediate,high,mempool-api,"Funded from the address later used for the 1.597 BTC seed consolidation"
btc-consolidation,bitcoin,bc1qjekyd0dh8kp3vnvhxqxtla4u2tx8hkwh5sglm7,seed consolidation and peel address,2026-07-18T15:47:37Z,2026-08-21T22:08:17Z,,,2026-08-23,common-control linkage to pre-incident and post-incident paths,medium,mempool-api,"Common-input ownership remains a heuristic"
btc-kucoin-labelled,bitcoin,bc1q9wvygkq7h9xgcp59mc6ghzczrqlgrj9k3ey9tz,service-scale aggregation endpoint,,,KuCoin,bitinfocharts-label,2026-08-23,mutable third-party KuCoin label,medium-low,bitinfocharts-label,"Transfer is high confidence; label is not provider-supplied ownership proof"
btc-shared-aggregator,bitcoin,bc1qj0ugt5lew43pvnjgy9kssjdwel7v3xkyj9epyv,high-volume aggregation endpoint,,,unlabeled,,2026-08-23,reused before and after the incident,high,mempool-api,"Shared service-like endpoint; beneficial owner unknown"
btc-crosschain-destination,bitcoin,bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w,decoded cross-chain destination,2026-07-18T17:15:49Z,2026-08-15T19:01:00Z,unlabeled,,2026-08-23,received payouts corresponding to linked Harbor and Bridgers requests,high,mempool-api,"Distinct from embedded BTC seed bc1qmplgt0hcg62jc2guz86wn2sms7tqrsulkkrrls; 3.31745755 BTC lifetime received; 3.05867741 BTC through 13 external funding transactions and 16 outputs on 18 July"
btc-crosschain-split-a,bitcoin,bc1q4t452dgz24zyjr5ycxqer32yug6spnfvugrh9s,one BTC split destination,2026-07-18T22:53:14Z,,unlabeled,,2026-08-23,first split branch,high,mempool-api,"Ordinary change transaction; not an equal-output CoinJoin"
btc-crosschain-split-b,bitcoin,bc1qeqt235mucjq9c9d97s5r9n7netrxx0mpnnkh2g,2.05 BTC split destination,2026-07-19T00:50:09Z,,unlabeled,,2026-08-23,second split branch,high,mempool-api,"Ordinary change transaction; not an equal-output CoinJoin"
btc-later-pool-a,bitcoin,3KMmeqPeQcngyTehdfSwsGqvxfU7J7qtc8,later high-volume aggregation endpoint,,,unlabeled,,2026-08-23,fan-in endpoint after post-incident peel,high,mempool-api,"No defensible provider or mixer label"
eth-seed,ethereum,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,payload replacement destination,2026-07-02T00:13:11Z,2026-08-21T17:28:11Z,,,2026-08-23,active collection and forwarding address recovered from payload,high,blockscout-api,"Activity predates the reported Adform incident; canonical token contracts only in totals"
eth-earliest-source,ethereum,0x20Ff49EA3385B6488946430Ed1d4De6d91b43cAd,earliest large source to ETH seed,,,unlabeled,,2026-08-23,high-throughput EOA with no defensible owner label,high,blockscout-api,"Sent 5978.566883 USDC and 0.66427262 ETH on 2 July"
eth-earliest-source-funder,ethereum,0xf30ba13e4b04Ce5dC4D254Ae5FA95477800F0EB0,two-hop gas funding source,,,Kraken Hot Wallet 2,etherscan-labels,2026-08-23,service-origin context only,medium-high,etherscan-labels,"Sent 0.01 ETH to eth-earliest-source in February; not evidence of customer identity or Kraken involvement"
eth-preincident-relay-a,ethereum,0x2eD291DbbC89DdF142Bb265E848B20f0cb80704F,pre-incident collection relay,2026-07-18T17:00:11Z,2026-07-18T18:16:11Z,unlabeled,,2026-08-23,directly funded by ETH seed,high,blockscout-api,"Forwarded assets to the second linked relay"
eth-preincident-relay-b,ethereum,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,pre-incident conversion relay,2026-07-18T17:00:11Z,2026-07-18T22:40:35Z,unlabeled,,2026-08-23,invoked Harbor and Bridgers with one BTC destination,high,blockscout-api,"Seven decoded contract calls preserved in onchain-transfers.csv; destination differs from the embedded BTC seed"
