"observation_id","observed_at","collected_at","object_type","object_value","context","source_id","collection_method","evidence_path","confidence","notes"
"obs-001","2026-08-18/2026-08-23","2026-08-24","local-public-scan-subset","30 observations / 25 task domains","Initial Hostinger-themed Observatory subset","hecavex-investigation","saved public scan metadata","observations.csv","high","Scan observations are not victims or deliveries"
"obs-002","2025-12-23/2026-08-23","2026-08-24","exact-hash-pivot","467 observations / 262 task domains","Exact credential-harvesting JavaScript SHA-256","hecavex-investigation","offline exact-hash correlation","exact-hash-pivots.csv","high","Byte-identical code supports software lineage, not one operator"
"obs-003","2026-03-25/2026-08-23","2026-08-24","hostname-family-query","562 observations / 298 task domains","Exact fixed prefix plus 24 lowercase-letter suffix","hecavex-investigation","offline hostname correlation","hostname-generation-summary.csv","high","Primary query counts task domains only"
"obs-004","2026-04-14","2026-08-24","cross-role-family-union","299 exact-family names","One additional family name appeared only as a final page behind a short link","hecavex-investigation","offline cross-pivot union","hostname-generation-summary.csv","high","Do not report all 299 as task domains"
"obs-005","2026-08-24","2026-08-24","bounded-current-state-sample","5 exact documents / 2 warnings / 1 Cloudflare 522","Eight deterministically selected Pages hosts","hecavex-investigation","bounded TLS HEAD and inert GET verification","infrastructure-summary.csv","high for sample","The sample is not random and cannot estimate family uptime"
"obs-006","2026-08-24","2026-08-24","known-static-assets","15 of 15 exact hash matches","Three already known script paths on each of five exact-root hosts","hecavex-investigation","bounded inert GET verification","exact-hash-pivots.csv","high for sample","No client JavaScript was executed"
"obs-007","2026-08-24T17:48:15Z/2026-08-24T17:53:38Z","2026-08-24","archive-candidate-check","25 HTML responses / 0 valid ZIP","Five fixed basenames on five exact-root hosts after hash gates","hecavex-investigation","bounded sequential GET and structural ZIP validation","infrastructure-summary.csv","high for checked scope","Negative only for the fixed names hosts and interval"
"obs-008","2023-06-20/2026-08-24","2026-08-24","partial-cross-brand-corpus","366 scan IDs / 67 same-shape task domains / 12 prefixes","Preselected corpus sharing unusual path or parameter grammar","hecavex-investigation","offline public metadata analysis","cross-brand-context.csv","moderate","Not a prevalence sample and not exact Hostinger-core reuse"
"obs-009","2026-08-24","2026-08-24","dns-summary","298 names / 596 A answers / 206 unique addresses","Public DNS answers for the exact task-domain query","hecavex-investigation","bounded resolver collection","infrastructure-summary.csv","high for DNS","Resolution is not proof of malicious content or continuous activity"
"obs-010","2026-08-24T11:07:29Z","2026-08-24","synthetic-loopback-reconstruction","1 accepted fixture / 0 external requests","Credential-form request shape reconstructed with built-in synthetic values","hecavex-investigation","loopback-only HTTP fixture","local-mock-flow.json","high","Synthetic method validation only; it does not establish campaign receiver behavior"
"obs-011","2025-11-11/2026-08-23","2026-08-24","classified-domain-inventory","302 Pages names / 1 PythonAnywhere redirect-context name","Defanged Hostinger-labelled domains separated by observation role and evidence tier","hecavex-investigation","offline task and final-page normalization","hostinger-domain-inventory.csv","mixed by row","Historical evidence record; not a live-state feed or automatic blocklist"
"obs-012","2026-08-24T19:34:20Z/2026-08-24T19:34:42Z","2026-08-24","fixed-path-response-check","9 exact root responses / 1 redirect","Ten predetermined paths on one exact-root host after a SHA-256 gate","hecavex-investigation","bounded sequential GET response comparison","fixed-path-response-summary.csv","high for checked scope","No rendering query strings cookies POST recursion wordlist expansion or receiver contact"
