"object","hash_linked_scans","public_neighbour_domains","delivery_model","provider_context","confidence","analytical_note"
"Cloudflare aggregate","121","101 exact-hash hosts","shared edge","AS13335","high","Shared Cloudflare addresses are not safe permanent block indicators"
"Direct aggregate","42","25 exact-hash hosts","OpenResty or nginx","AS132203 Aceville/Tencent Cloud","high","Provider context does not establish operator nationality or identity"
"43.153.54[.]89","11","30","direct OpenResty","AS132203","medium","Parking, delivery, government and traffic lure candidates; neighbours are hunting leads"
"170.106.154[.]69","5","73","direct OpenResty","AS132203","medium","Large RingGo rotation plus delivery-brand candidates"
"43.172.91[.]66","2","53","direct OpenResty","AS132203","medium","Neighbour set was heavily weighted toward RingGo typo domains"
"43.135.161[.]140","7","5","direct OpenResty","AS132203","medium","EasyPark-focused public neighbour pattern"
"43.157.97[.]37","4","7","direct OpenResty","AS132203","medium","Q-Park-focused public neighbour pattern"
"43.165.174[.]107","3","6","direct OpenResty","AS132203","medium","Q-Park-focused public neighbour pattern"
"101.32.47[.]254","3","10","direct OpenResty","AS132203","medium","EasyPark, delivery and tax-authority impersonation candidates"
"43.156.224[.]182","1","33","direct OpenResty","AS132203","medium","RingGo and delivery-brand candidates"
