type,indicator,role,assessment,confidence,notes
ipv4,84.32.102.230,C2 telemetry receiver,malicious,high,"HTTP listener was embedded in an archived payload; host/path/source IP exposure was only possible from HTTP pages because HTTPS mixed-content controls blocked the request"
network,http://84.32.102.230:7744/p?h={hostname}&u={path},C2 request template,malicious,high,"Defang before sharing in prose; do not probe"
sha256,c03567cac86046a9aa1c1c4b43e0c6de7703b43cf01b3d8229978314afc6e9da,malicious script variant,malicious,high,"Archived first-stage variant"
sha256,0674a58b224cca2ce840153d6c8d474f29f126f7af5054350ba1572c33233aa3,malicious script variant,malicious,high,"Archived advanced single-block variant"
sha256,a04461bbdccb15378182cdf77281ec29628f1c1386ae0fe89b62f359471fdeb6,malicious script variant,malicious,high,"Archived two-block variant; body hash without analyst header"
sha256,02ff86c7f9fe609a753ff15bda90baa3c3e0d4a2e559ec4fcf8a3de0954b7c55,malicious script variant,malicious,high,"Advanced-only response reproduced byte-for-byte from a04461bb... and observed by exact hash in URLScan"
sha256,e6943f225abcd12ec417e877e942f66d80902cbf00830d7dc66c00628c767729,analyst-wrapped Gist artifact,malicious-associated,high,"Downloaded Gist file including the uploader's leading comment; the JavaScript body without that comment hashes to a04461bb..."
sha256,4b3c1eaf5f1cb8d1ca7bc19f883cc8558dae7a3190408674da9f19dab1ba4c45,appended malicious suffix,malicious,high,"6945-byte suffix extracted by comparing the captured body with the current clean prefix"
sha256,2790750c66ab02ffa7cd98b041b07b599ab3bfc54e59be052c93887c108bcfc2,first malicious block,malicious,high,"Clipboard polling and HTTP telemetry block extracted statically"
sha256,c223abee0a28d5f11eaf0a87ebf80d3a8d0bfa8f61e44cd9dff42b41987e43f1,second malicious block,malicious,high,"DOM/form/value setter and clipboard event block extracted statically"
sha256,59938868870ce60b8576506d0211346d8a85329a9d54997c39d921389c493b34,current clean comparison,benign-comparison,medium,"Downloaded 2026-08-08; do not use as a permanent allowlist"
bitcoin,bc1qmplgt0hcg62jc2guz86wn2sms7tqrsulkkrrls,replacement destination,malicious-associated,high,"Valid Bech32 address recovered from an archived payload; activity predates the incident"
ethereum,0xE7983E69df17079ADb0aD7b3458488Cac0dBc573,replacement destination,malicious-associated,high,"Valid Ethereum address recovered from an archived payload; activity predates the incident and the account currently uses EIP-7702 delegation"
tron,TW4AgGnDc2Pk6YAynCtjCKzoKYWPg7nJe,replacement string,invalid,high,"Recovered string fails expected TRON address length/checksum; do not treat as a working wallet"
http-etag,"""2c4f9056952481d2697d4e338b0caaf0""",cached malicious response,malicious-associated,high,"Observed by URLScan on 2026-07-30 with cf-cache-status HIT and age 245023"
javascript-string,"var _k=[0x4d,0x33,0x77,0x54,0x77,0x30]",payload signature,malicious-associated,medium,"Six-byte XOR key M3wTw0; combine with other script indicators"
domain,s2.adform.net,legitimate distribution hostname,context-only,high,"Do not block broadly; hunt only by incident time window and response hash"
bitcoin,bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w,pre-incident decoded cross-chain destination,malicious-associated,high,"Destination appears in seven linked Harbor and Bridgers calls; predates Adform and must not be treated as incident-loss proof"
ethereum,0x2eD291DbbC89DdF142Bb265E848B20f0cb80704F,pre-incident collection relay,malicious-associated,high,"Directly funded by the embedded ETH seed during the earlier 18 July collection episode"
ethereum,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,pre-incident conversion relay,malicious-associated,high,"Directly linked to the embedded ETH seed and invoked verified cross-chain routers"
ethereum,0xaAA56521faBFE036E7A2cff721B3e37Dafff6dc9,post-incident native ETH storage address,malicious-associated,medium-high,"Received 5.499399595444390569 ETH from the embedded seed; beneficial owner remains unknown"
ethereum,0x81A19D2E11eb6177f9FB09D8D033a415C5cEa501,post-incident fast relay,malicious-associated,high,"Forwarded linked ETH and stablecoins to a pooled address within 96 to 204 seconds"
