assessment_id,subject,assessment,confidence,evidence_for,evidence_against_or_limit,source_id,reviewed_at
wallet-reuse,embedded wallet destinations,"The embedded BTC and ETH wallet destinations were active before the reported Adform incident",high,"BTC activity from 3 July; ETH activity from 2 July","Activity dates do not identify an earlier delivery mechanism or prove shared control of the two destinations",blockscout-api,2026-08-23
temporal-overlap,18 July BTC and ETH activity,"Activity at the two embedded destinations overlapped in time and is consistent with but does not prove one shared episode",medium,"Independently reproduced activity windows overlap on 18 July","No on-chain path links the embedded BTC seed to the ETH relay route; the decoded route targets a different BTC address",mempool-api,2026-08-23
relay-control,ETH seed and two pre-incident relays,"The relays are strongly linked to the seed and one another",high,"Direct seed funding; one relay funds the other; immediate contract interaction","Public chain does not disclose legal or natural-person ownership",blockscout-api,2026-08-23
crosschain-destination,seven Harbor and Bridgers calls,"23.15 ETH 15258 USDT and 33590 USDC were requested to one decoded BTC destination",high,"Decoded verified-contract parameters contain the exact BTC address","The destination differs from the embedded BTC seed; requested minimum outputs and BTC payouts are not a one-to-one loss ledger",blockscout-api,2026-08-23
router-classification,Harbor and Bridgers,"Observed services are cross-chain routing or swap infrastructure and are not identified mixers",high,"Official product and contract documentation; decoded router calls","Later downstream obfuscation or off-chain settlement remains possible",harbor-product,2026-08-23
mixer-check,reviewed BTC and ETH paths,"No named mixer Tornado Cash touchpoint or equal-output CoinJoin was identified",high,"Direct path review and transaction structure","Applies only to listed public-ledger hops and cannot exclude activity after commingling",mempool-api,2026-08-23
incident-source-labels,incident-window ETH first-hop senders,"Several immediate senders carry public exchange custodian or gaming-service labels",medium-high,"Dated Etherscan and Blockscan public labels plus exact transfer records","Labels identify pooled sending infrastructure not the customer payer victim or operator",etherscan-labels,2026-08-23
btc-clustering,BTC incident-window sources,"Three incident-window receipts totalling 0.02198465 BTC map to one large unlabeled WalletExplorer cluster",medium,"WalletExplorer cluster 0000abaff74c90d7","Clustering is heuristic and does not identify a provider or customer",walletexplorer-api,2026-08-23
person-attribution,all reviewed wallets,"No natural person or named operator can be attributed from the reviewed public evidence",insufficient,"No reliable identity label ENS verified profile or independent campaign report","Provider KYC or seized-account evidence would be required",sourcegraph-search,2026-08-23
prior-campaign-search,exact embedded BTC wallet,"The preserved Sourcegraph query found no independent earlier code match for the exact embedded BTC address",low-medium,"Reproducible exact-literal Sourcegraph query for bc1qmplgt0hcg62jc2guz86wn2sms7tqrsulkkrrls","One public code-search query is incomplete and cannot establish absence or cover the ETH wallet payload hashes XOR key C2 or code fragments",sourcegraph-search,2026-08-23
tron-boundary,recovered TRON replacement string,"No TRON ledger tracing is defensible because the recovered value is invalid",high,"33 characters and failed Base58Check validation","A missing character was not guessed",tron-account-docs,2026-08-23
web-hit-false-positive,bc1qj0ug web mention,"A generalfinancegroup.com exact-address hit is excluded as attribution evidence",high,"Page repeats transaction-widget rows with unrelated addresses","A scraped blockchain display does not establish wallet control",mempool-api,2026-08-23
