"indicator_id","type","value","role","first_observed","last_observed","status","confidence","source_id","expires_at","safe_for_blocking","notes"
"ioc-001","hostname-regex","^hostinger-mail-ewgjnwrkgnkrw-[a-z]{24}\\.pages\\.dev$","deployment-family","2026-03-25","2026-08-23","current","high","hecavex-investigation","","false","Use with content hashes or credential-form behavior; verify current content"
"ioc-002","sha256","728d235b2ad22aa3e0f9147f267256d06b80e5ebd7bd61daa1499c1ab6f50af5","root-document","2026-07-20","2026-08-24","current","high","hecavex-investigation","","true","Version-specific exact malicious document hash"
"ioc-003","sha256","9805613dfd2c4b09e3080d0fabbfb8476efff9cd57775481df5a523922b311c2","credential-harvester","2025-12-23","2026-08-24","current","high","hecavex-investigation","","true","Reads username and password and prepares credential-bearing POST"
"ioc-004","sha256","563824f1917c8b2be9d54cc5b3c5dbcfd1b8cc9198039a3f54fe705d08ee6d5d","current-tracker","2026-04-21","2026-08-24","current","high","hecavex-investigation","","false","Contextual tracker hash; use only with Hostinger or credential-form evidence"
"ioc-005","sha256","b4f03187184e98f148b8fce890a35849a41f86aff938965138bf8a2346cf7d10","legacy-tracker","2026-03-25","2026-04-14","expired","high","hecavex-investigation","","false","Legacy version also appears in broader lure context"
"ioc-006","sha256","9201f2ee02b6b642504b09f95e61a57a2bcff43e23c7d737473229e2e4f7d503","anti-inspection-script","2024-01-11","2026-08-24","unknown","low alone","hecavex-investigation","","false","Generic contextual signal observed across many unrelated lure themes"
"ioc-007","domain","mohamedbinsalm[.]onrender[.]com","credential-receiver-in-code","2025-12-23","2026-08-23","unknown","high for code role","hecavex-investigation","","false","Receiver was not contacted; verify provider lifecycle before action"
"ioc-008","domain","moyin-psp-12012026[.]onrender[.]com","current-tracker-receiver-in-code","2026-04-21","2026-08-23","unknown","high for code role","hecavex-investigation","","false","Project-specific Render name; do not block onrender.com broadly"
"ioc-009","domain","wfrgbfchkp[.]onrender[.]com","legacy-tracker-receiver-in-code","2024-01-11","2026-04-14","expired","moderate","hecavex-investigation","","false","Seen in broader cross-brand context and not sufficient for one-operator attribution"
"ioc-010","domain","pages[.]dev","shared-hosting-provider","","","benign-comparison","high","cloudflare-production","","false","Cloudflare Pages hosts legitimate and malicious customer projects"
"ioc-011","domain","mail[.]hostinger[.]com","legitimate-redirect-destination","","","benign-comparison","high","hecavex-investigation","","false","Legitimate Hostinger service used as a post-attempt redirect; never block from this finding"
